Date,Open Price,High Price,Low Price,Close Price,Adj Close Price,Volume
11/23/2015,119.269997,119.730003,117.339996,117.75,109.477264,32482500
11/24/2015,117.330002,119.349998,117.120003,118.879997,110.52787,42803200
11/25/2015,119.209999,119.230003,117.919998,118.029999,109.737572,21388300
11/27/2015,118.290001,118.410004,117.599998,117.809998,109.533035,13046400
11/30/2015,117.989998,119.410004,117.75,118.300003,109.988617,39180300
12/1/2015,118.75,118.809998,116.860001,117.339996,109.096039,34852400
12/2/2015,117.339996,118.110001,116.080002,116.279999,108.110535,33386600
12/3/2015,116.550003,116.790001,114.220001,115.199997,107.106407,41569500
12/4/2015,115.290001,119.25,115.110001,119.029999,110.667328,57777000
12/7/2015,118.980003,119.860001,117.809998,118.279999,109.970024,32084200
12/8/2015,117.519997,118.599998,116.860001,118.230003,109.923523,34309500
12/9/2015,117.639999,117.690002,115.080002,115.620003,107.496902,46361400
12/10/2015,116.040001,116.940002,115.510002,116.169998,108.008263,29212700
12/11/2015,115.190002,115.389999,112.849998,113.18,105.228317,46886200
12/14/2015,112.18,112.68,109.790001,112.480003,104.577499,64318700
12/15/2015,111.940002,112.800003,110.349998,110.489998,102.727333,53323100
12/16/2015,111.07,111.989998,108.800003,111.339996,103.517616,56238500
12/17/2015,112.019997,112.25,108.980003,108.980003,101.32341,44772800
12/18/2015,108.910004,109.519997,105.809998,106.029999,98.58065,96453300
12/21/2015,107.279999,107.370003,105.57,107.330002,99.789322,47590600
12/22/2015,107.400002,107.720001,106.449997,107.230003,99.696365,32789400
12/23/2015,107.269997,108.849998,107.199997,108.610001,100.979393,32657400
12/24/2015,109,109,107.949997,108.029999,100.44014,13570400
12/28/2015,107.589996,107.690002,106.18,106.82,99.31517,26704200
12/29/2015,106.959999,109.43,106.860001,108.739998,101.100266,30931200
12/30/2015,108.580002,108.699997,107.18,107.32,99.780022,25213800
12/31/2015,107.010002,107.029999,104.82,105.260002,97.864746,40912300
1/4/2016,102.610001,105.370003,102,105.349998,97.948441,67649400
1/5/2016,105.75,105.849998,102.410004,102.709999,95.493919,55791000
1/6/2016,100.559998,102.370003,99.870003,100.699997,93.625145,68457400
1/7/2016,98.68,100.129997,96.43,96.449997,89.673714,81094400
1/8/2016,98.550003,99.110001,96.760002,96.959999,90.147873,70798000
1/11/2016,98.970001,99.059998,97.339996,98.529999,91.607574,49739400
1/12/2016,100.550003,100.690002,98.839996,99.959999,92.937134,49154200
1/13/2016,100.32,101.190002,97.300003,97.389999,90.547684,62439600
1/14/2016,97.959999,100.480003,95.739998,99.519997,92.528015,63170100
1/15/2016,96.199997,97.709999,95.360001,97.129997,90.305962,79833900
1/19/2016,98.410004,98.650002,95.5,96.660004,89.868973,53087700
1/20/2016,95.099998,98.190002,93.419998,96.790001,89.989838,72334400
1/21/2016,97.059998,97.879997,94.940002,96.300003,89.534256,52161500
